trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr_start,config/policy_lr_end,config/q_lr_start,config/q_lr_end,config/alpha,config/eta,config/autotune,config/target_entropy_scale,config/use_linear_schedule,config/saddle_point_optimization,config/use_kl_loss
6d51c_00000,0.0,1711726889.0,,True,24.0,2024-03-29_16-41-29,1.5756020545959473,149.10367345809937,12307.0,Nicolass-Air.technicolor.net,127.0.0.1,149.10367345809937,24.0,"0_alpha=0.2000,gamma=0.9900,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.1,0.001,0.1,0.001,0.2,,False,0.1,False,True,True
6d51c_00001,0.0,1711727056.0,,True,40.0,2024-03-29_16-44-16,1.1158599853515625,316.3254005908966,12308.0,Nicolass-Air.technicolor.net,127.0.0.1,316.3254005908966,40.0,"1_alpha=2,gamma=0.9900,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.1,0.001,0.1,0.001,2.0,,False,0.1,False,True,True
6d51c_00002,0.0,1711727106.0,,True,45.0,2024-03-29_16-45-06,1.2173690795898438,365.6507730484009,12309.0,Nicolass-Air.technicolor.net,127.0.0.1,365.6507730484009,45.0,"2_alpha=3,gamma=0.9900,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.1,0.001,0.1,0.001,3.0,,False,0.1,False,True,True
6d51c_00003,0.0,1711727039.0,,True,37.0,2024-03-29_16-43-59,2.5485458374023438,298.0794234275818,12310.0,Nicolass-Air.technicolor.net,127.0.0.1,298.0794234275818,37.0,"3_alpha=5,gamma=0.9900,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.1,0.001,0.1,0.001,5.0,,False,0.1,False,True,True
6d51c_00004,0.0,1711726892.0,,True,26.0,2024-03-29_16-41-32,0.5029528141021729,152.04604578018188,12311.0,Nicolass-Air.technicolor.net,127.0.0.1,152.04604578018188,26.0,"4_alpha=6,gamma=0.9900,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.1,0.001,0.1,0.001,6.0,,False,0.1,False,True,True
6d51c_00005,0.0,1711726879.0,,True,24.0,2024-03-29_16-41-19,1.2204077243804932,138.7852771282196,12312.0,Nicolass-Air.technicolor.net,127.0.0.1,138.7852771282196,24.0,"5_alpha=0.2000,gamma=1.0000,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,1.0,0.1,0.001,0.1,0.001,0.2,,False,0.1,False,True,True
6d51c_00006,0.0,1711727089.0,,True,44.0,2024-03-29_16-44-49,0.6677350997924805,348.7135660648346,12313.0,Nicolass-Air.technicolor.net,127.0.0.1,348.7135660648346,44.0,"6_alpha=2,gamma=1.0000,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,1.0,0.1,0.001,0.1,0.001,2.0,,False,0.1,False,True,True
6d51c_00007,0.0,1711727110.0,,True,45.0,2024-03-29_16-45-10,0.518049955368042,369.55813908576965,12314.0,Nicolass-Air.technicolor.net,127.0.0.1,369.55813908576965,45.0,"7_alpha=3,gamma=1.0000,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,1.0,0.1,0.001,0.1,0.001,3.0,,False,0.1,False,True,True
6d51c_00008,0.0,1711727031.0,,True,25.0,2024-03-29_16-43-51,1.555919885635376,151.50340962409973,12312.0,Nicolass-Air.technicolor.net,127.0.0.1,151.50340962409973,25.0,"8_alpha=5,gamma=1.0000,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,1.0,0.1,0.001,0.1,0.001,5.0,,False,0.1,False,True,True
6d51c_00009,0.0,1711727213.0,,True,38.0,2024-03-29_16-46-53,0.918220043182373,322.8132185935974,12307.0,Nicolass-Air.technicolor.net,127.0.0.1,322.8132185935974,38.0,"9_alpha=6,gamma=1.0000,num_envs=1,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,1.0,0.1,0.001,0.1,0.001,6.0,,False,0.1,False,True,True
6d51c_00010,0.0,1711727152.0,,True,15.0,2024-03-29_16-45-52,2.58475399017334,259.34136986732483,12311.0,Nicolass-Air.technicolor.net,127.0.0.1,259.34136986732483,15.0,"10_alpha=0.2000,gamma=0.9900,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,0.99,0.1,0.001,0.1,0.001,0.2,,False,0.1,False,True,True
6d51c_00011,0.0,1711727589.0,,True,33.0,2024-03-29_16-53-09,4.966554164886475,557.4759664535522,12312.0,Nicolass-Air.technicolor.net,127.0.0.1,557.4759664535522,33.0,"11_alpha=2,gamma=0.9900,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,0.99,0.1,0.001,0.1,0.001,2.0,,False,0.1,False,True,True
6d51c_00012,0.0,1711727645.0,,True,34.0,2024-03-29_16-54-05,2.7999250888824463,606.4509515762329,12310.0,Nicolass-Air.technicolor.net,127.0.0.1,606.4509515762329,34.0,"12_alpha=3,gamma=0.9900,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,0.99,0.1,0.001,0.1,0.001,3.0,,False,0.1,False,True,True
6d51c_00013,0.0,1711727733.0,,True,39.0,2024-03-29_16-55-33,4.345424175262451,676.1670145988464,12308.0,Nicolass-Air.technicolor.net,127.0.0.1,676.1670145988464,39.0,"13_alpha=5,gamma=0.9900,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,0.99,0.1,0.001,0.1,0.001,5.0,,False,0.1,False,True,True
6d51c_00014,0.0,1711727950.0,,True,30.0,2024-03-29_16-59-10,3.1168782711029053,860.8603677749634,12313.0,Nicolass-Air.technicolor.net,127.0.0.1,860.8603677749634,30.0,"14_alpha=6,gamma=0.9900,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,0.99,0.1,0.001,0.1,0.001,6.0,,False,0.1,False,True,True
6d51c_00015,0.0,1711727201.0,,True,6.0,2024-03-29_16-46-41,3.828144073486328,95.20010757446289,12309.0,Nicolass-Air.technicolor.net,127.0.0.1,95.20010757446289,6.0,"15_alpha=0.2000,gamma=1.0000,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,1.0,0.1,0.001,0.1,0.001,0.2,,False,0.1,False,True,True
6d51c_00016,0.0,1711727634.0,,True,30.0,2024-03-29_16-53-54,4.150407791137695,523.6156225204468,12314.0,Nicolass-Air.technicolor.net,127.0.0.1,523.6156225204468,30.0,"16_alpha=2,gamma=1.0000,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,1.0,0.1,0.001,0.1,0.001,2.0,,False,0.1,False,True,True
6d51c_00017,0.0,1711728035.0,,True,31.0,2024-03-29_17-00-35,4.902212142944336,882.9711029529572,12311.0,Nicolass-Air.technicolor.net,127.0.0.1,882.9711029529572,31.0,"17_alpha=3,gamma=1.0000,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,1.0,0.1,0.001,0.1,0.001,3.0,,False,0.1,False,True,True
6d51c_00018,0.0,1711727727.0,,True,30.0,2024-03-29_16-55-27,1.6576461791992188,524.9883451461792,12309.0,Nicolass-Air.technicolor.net,127.0.0.1,524.9883451461792,30.0,"18_alpha=5,gamma=1.0000,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,1.0,0.1,0.001,0.1,0.001,5.0,,False,0.1,False,True,True
6d51c_00019,0.0,1711727508.0,,True,17.0,2024-03-29_16-51-48,3.32620906829834,294.78370904922485,12307.0,Nicolass-Air.technicolor.net,127.0.0.1,294.78370904922485,17.0,"19_alpha=6,gamma=1.0000,num_envs=4,policy_lr_start=0.1000,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,4.0,1.0,0.1,0.001,0.1,0.001,6.0,,False,0.1,False,True,True
6d51c_00020,0.0,1711727668.0,,True,26.0,2024-03-29_16-54-28,0.37818312644958496,159.40647912025452,12307.0,Nicolass-Air.technicolor.net,127.0.0.1,159.40647912025452,26.0,"20_alpha=0.2000,gamma=0.9900,num_envs=1,policy_lr_start=0.0250,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.025,0.001,0.1,0.001,0.2,,False,0.1,False,True,True
6d51c_00021,0.0,1711727958.0,,True,45.0,2024-03-29_16-59-18,1.1653869152069092,368.88630747795105,12312.0,Nicolass-Air.technicolor.net,127.0.0.1,368.88630747795105,45.0,"21_alpha=2,gamma=0.9900,num_envs=1,policy_lr_start=0.0250,q_lr_start=0.1000,update_epochs=50,update_policy_epochs=300",QREPS,1.0,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000.0,100.0,10000.0,50.0,300.0,5.0,1.0,0.99,0.025,0.001,0.1,0.001,2.0,,False,0.1,False,True,True
